uid,shopName,ownerName,email,password,phoneNumber,primarySkill,city,area,visitingCharges,rating,reviewsCount
ngUteuQI8gN3zrVyKvVFIFLFIcg1,Islamabad AC service & repair,Islamabad  service &,provider_chijiyqrjiyx3zgrszh98t2rwri@yaqeen.com,Password123!,03355111414,AC Technician,Islamabad,G-11,500,5,1
kqypgzuYoySkOaAAwvEQQGJ68ke2,AL-SYED COOLING CENTRE,AL-SYED COOLING CENTRE,provider_chijf6dkeacx3zgrseim91sq9ny@yaqeen.com,Password123!,03115958129,AC Technician,Islamabad,G-11,500,5,18
jd0pg1YzvVWgKHfV5fYZU9xg7Vf1,ProCare Maintenance,ProCare Maintenance,provider_chij2szaick93zgr7xsocbj5gha@yaqeen.com,Password123!,03131581615,AC Technician,Islamabad,G-11,500,4.8,16
euU8FXYr94RH5RlNgDfpxdMDDGn2,Gree/Eco Star Authorized Service Center,Gree/Eco Star Authorized Service,provider_chijmwfiryk18sardlgnrr0rbdq@yaqeen.com,Password123!,03330606777,AC Technician,Islamabad,G-11,500,4.1,35
OenESE7Xz0b3V47rLDSjddQsbVw2,Multan Cool Point,Multan Cool Point,provider_chijd35sbacx3zgrxa4vl7esznq@yaqeen.com,Password123!,03315153883,AC Technician,Islamabad,G-11,500,5,9
mVrYaU0bx2P4awVImYzwC0AUtrc2,Royal Maintenance & Cool Point,Royal Maintenance & Cool Point,provider_chijkc3wdus93zgru-vhew0k4bs@yaqeen.com,Password123!,03069046325,AC Technician,Islamabad,G-11,500,5,11
5ou7yZKEyuUNY8kv0cMHw1fOoXt2,Plumber and electricians Islamabad,Plumber and s Islamabad,provider_chij9tvkkti_3zgrea-tod4u-pc@yaqeen.com,Password123!,03135086935,AC Technician,Islamabad,G-11,500,4.8,98
q0c4ppHeDqNNcwlxVCeTUhAHuEk2,Zoha engineering services,Zoha engineering,provider_chijfqp6ewcv3zgry5g1aquqoe4@yaqeen.com,Password123!,03430187779,AC Technician,Islamabad,G-11,500,5,3
KSUTQLbwCSeSIAM7dwpItfkvI8C2,Electrician & Plumber in Islamabad,& Plumber in Islamabad,provider_chijjcnfokgx3zgr3etvnn9l9i4@yaqeen.com,Password123!,03105692348,Plumber,Islamabad,G-11,300,4.9,54
5ou7yZKEyuUNY8kv0cMHw1fOoXt2,Plumber and electricians Islamabad,Plumber and s Islamabad,provider_chij9tvkkti_3zgrea-tod4u-pc@yaqeen.com,Password123!,03135086935,Plumber,Islamabad,G-11,300,4.8,98
hGCGXVBvNYMdbiKpL57qJyDTjHN2,Islamabad plumber and electricians,Islamabad plumber and s,provider_chij75vq2uuv3zgr3tlw2_9hv9e@yaqeen.com,Password123!,03015374005,Plumber,Islamabad,G-11,300,4.8,387
ltjKvULMi6N8r8i0QyAcpQJUvNy2,Master centric Plumber Islamabad,Master centric Plumber Islamabad,provider_chijfrhsmw293zgrb1t6ul1jyiq@yaqeen.com,Password123!,03064879628,Plumber,Islamabad,G-11,300,4.9,66
JDszY0bzsec077UcVDfzYCpGDTH3,“FixMate Home Services”,“FixMate Home ”,provider_chija39boacx3zgrp96km15ejng@yaqeen.com,Password123!,03097932671,Plumber,Islamabad,G-11,300,4.5,25
w1elypjL2EOWT1BQOV6uq5klQ6J3,NS Plumbing Contractor,NS  Contrtor,provider_chijjyum_rwv3zgrfyp2pwgdvgs@yaqeen.com,Password123!,03419698784,Plumber,Islamabad,G-11,300,4.4,9
K8bROJzNX6YLzSnb41hzD34Eg7x2,Said Rehman Plumber Services,Said Rehman Plumber,provider_chijzf9zlmax3zgr0z1fg-5eeyg@yaqeen.com,Password123!,03169625448,Plumber,Islamabad,G-11,300,5,37
RAXWr4eM4Sa8iW0Gm6AujWVturw1,Farooq Plumber,Farooq Plumber,provider_chijn_itycs_3zgrpcmx460ypsk@yaqeen.com,Password123!,03189339103,Plumber,Islamabad,G-11,300,4.5,25
KSUTQLbwCSeSIAM7dwpItfkvI8C2,Electrician & Plumber in Islamabad,& Plumber in Islamabad,provider_chijjcnfokgx3zgr3etvnn9l9i4@yaqeen.com,Password123!,03105692348,Electrician,Islamabad,G-11,300,4.9,54
5ou7yZKEyuUNY8kv0cMHw1fOoXt2,Plumber and electricians Islamabad,Plumber and s Islamabad,provider_chij9tvkkti_3zgrea-tod4u-pc@yaqeen.com,Password123!,03135086935,Electrician,Islamabad,G-11,300,4.8,98
99fGi824oPOUkGZcFJXcS19Vyoh2,CH Eletrical Services,CH Eletrical,provider_chijvzzsee2v3zgrgnuwpwhoxxi@yaqeen.com,Password123!,03016351120,Electrician,Islamabad,G-11,300,5,9
U2CGVvL3eRelUJpyLGFKIEyKV2p2,Islamabad,Islamabad,provider_chijw5eacgc93zgrld6afakxdyg@yaqeen.com,Password123!,03054784424,Electrician,Islamabad,G-11,300,5,7
